FUND SOURCE,DESCRIPTION,FEDERAL AWARDING AGENCY,BUSINESS UNIT,STATE AGENCY NAME,AWARD,EXPENSE,REMAINING
10830,2021 WIC APRA CASH VALUE VOUCHER,US DEPT OF AGRICULTURE,400,IN State Department of Health,11645256,11645256,0
10834,2022 SNAP - Pandemic EBT FS is used to record expenses in the GL as required by GASB.  No grant is awarded directly to the State,US DEPT OF AGRICULTURE,500,FSSA Div of Family Resources,6298520.97,8034.12,6290486.85
10837,2021 The Emergency Food Assistance Program (TEFAP):  Allocation of CARES Act Supplemental Appropriation,US DEPT OF AGRICULTURE,400,IN State Department of Health,153061,153061,0
10850,2021 Family Violence Prevention & Services State Grant ARP,US DEPT OF HEALTH & HUMAN SVS,32,Criminal Justice Institute,118486.3,14026.7,104459.6
10850,2021 Family Violence Prevention & Services State Grant ARP,US DEPT OF HEALTH & HUMAN SVS,32,Criminal Justice Institute,2251239.7,0,2251239.7
10862,2021 Commodity and Supplemental Food Program (CSFP) COVID Admin,US DEPT OF AGRICULTURE,400,IN State Department of Health,18805,18805,0
10863,2021 American Rescue Plan Act Funding for Home Visiting- COVID Supplement,US DEPT OF HEALTH & HUMAN SVS,400,IN State Department of Health,379903,0,379903
10863,2021 American Rescue Plan Act Funding for Home Visiting- COVID Supplement,US DEPT OF HEALTH & HUMAN SVS,502,Dept of Child Services,759807,24205.67,735601.33
10910,2021 SNAP STATE AND LOCAL PEBT,US DEPT OF AGRICULTURE,718,Education School Nutrition,709592,677050,32542
10913,2021 Healthy Meals - PRJ 2-CNP COVID #3 EMERG COS  GAD #2IN320002,US DEPT OF AGRICULTURE,550,IN School for the Blind & VI,9071.37,0,9071.37
10913,2021 Healthy Meals - PRJ 2-CNP COVID #3 EMERG COS  GAD #2IN320002,US DEPT OF AGRICULTURE,615,Dept of Correction,9647.97,0,9647.97
10913,2021 Healthy Meals - PRJ 2-CNP COVID #3 EMERG COS  GAD #2IN320002,US DEPT OF AGRICULTURE,718,Education School Nutrition,23111451.66,19073222.08,4038229.58
10914,2021 Healthy Meals - CN CACFP EMERGENCY COSTS GAD #2IN320002,US DEPT OF AGRICULTURE,718,Education School Nutrition,4850250,4234783.91,615466.09
10915,American Rescue Plan Act  Pediatric Mental Health Care Access New Area Expansion,US DEPT OF HEALTH & HUMAN SVS,410,FSSA Div of Mntl Hlth & Addict,445000,0,445000
10915,American Rescue Plan Act  Pediatric Mental Health Care Access New Area Expansion,US DEPT OF HEALTH & HUMAN SVS,410,FSSA Div of Mntl Hlth & Addict,0,0,0
10915,American Rescue Plan Act  Pediatric Mental Health Care Access New Area Expansion,US DEPT OF HEALTH & HUMAN SVS,410,FSSA Div of Mntl Hlth & Addict,0,0,0
10915,American Rescue Plan Act  Pediatric Mental Health Care Access New Area Expansion,US DEPT OF HEALTH & HUMAN SVS,410,FSSA Div of Mntl Hlth & Addict,0,0,0
10915,American Rescue Plan Act  Pediatric Mental Health Care Access New Area Expansion,US DEPT OF HEALTH & HUMAN SVS,410,FSSA Div of Mntl Hlth & Addict,0,0,0
10916,2021 Covid19 Mitigation Block Grants for Community Mental Health Services,US DEPT OF HEALTH & HUMAN SVS,410,FSSA Div of Mntl Hlth & Addict,880193,0,880193
10917,2021 Covid19 Mitigation Substance Abuse Prevention & Treatment Block Grant,US DEPT OF HEALTH & HUMAN SVS,410,FSSA Div of Mntl Hlth & Addict,882589,0,882589
10921,Section 5310 (CRRSA) Grant for Replacement Vehicles,US DEPT OF TRANSPORTATION,800,IN Dept of Transportation,558726,0,558726
10939,2021 Emergency Management Performance Grant Program COVID-19 Supplemental,US DEPT OF HOMELAND SECURITY,385,IN Dept of Homeland Security,1466941,0,1466941
10939,2021 Emergency Management Performance Grant Program COVID-19 Supplemental,US DEPT OF HOMELAND SECURITY,385,IN Dept of Homeland Security,499990,0,499990
10943,2021 Individuals with Disabilities Education Act / ARP,US DEPT OF EDUCATION,700,Dept of Education,61393749,5919.31,61387829.69
10944,2021 Individuals with Disabilities Education Act / ARP PreSchool,US DEPT OF EDUCATION,700,Dept of Education,4532034,30354.27,4501679.73
10945,5310 - Mobility of Sr. & Indv. w/ Disabilities,US DEPT OF TRANSPORTATION,800,IN Dept of Transportation,2190747,0,2190747
10945,5310 - Mobility of Sr. & Indv. w/ Disabilities,US DEPT OF TRANSPORTATION,800,IN Dept of Transportation,0,0,0
10949,2021 Expanding disability network's access to Covid-19 Vaccines,US DEPT OF HEALTH & HUMAN SVS,35,Gov Cncl for Ppl w/Disab,77960,0,77960
10970,2021 Section 5310 (American Rescue Plan) Grant for Replacement Vehicles,US DEPT OF TRANSPORTATION,800,IN Dept of Transportation,558734,0,558734
10971,2021 Section 5311 American Rescue Plan Act Grant for Operating Assistance and RTAP,US DEPT OF TRANSPORTATION,800,IN Dept of Transportation,1717222,0,1717222
10972,2021 Section 5311(f) American Rescue Plan Act Grant for Intercity Bus Operating Assistance,US DEPT OF TRANSPORTATION,800,IN Dept of Transportation,2504164,0,2504164
11003,2021 American Rescue Plan (ARP) for APS under SSA Title XX,US DEPT OF HEALTH & HUMAN SVS,498,FSSA Div of Aging,1618610,5000,1613610
11062,"2021 Coronavirus AID, Relief, and Economic Security Act CARES Act Award",US DEPT OF HEALTH & HUMAN SVS,400,IN State Department of Health,1092455,644127.21,448327.79
11065,2021 Individuals with Disabilities Education Act/American Rescue,US DEPT OF EDUCATION,497,FSSA Disability & Rehab Svcs,4195826,2175.67,4193650.33
11076,2021 Epidemiology & Lab Capacity (ELC) COVID 19NU50CK000503DMODC3,US DEPT OF HEALTH & HUMAN SVS,400,IN State Department of Health,3396360,0,3396360
11080,2021 ELC Detection & Mitigation of COVID in Confinement Facilities 19NU50CK000503DOJC6,US DEPT OF HEALTH & HUMAN SVS,400,IN State Department of Health,17220000,0,17220000
11093,2023 SNAP - Pandemic EBT FS is used to record expenses in the GL as required by GASB.  No grant is awarded directly to the State,US DEPT OF AGRICULTURE,500,FSSA Div of Family Resources,0,0,0
11110,2021 ARPA Fraud Prevention,US DEPT OF LABOR,510,Dept of Workforce Development,3684000,0,3684000
11114,2021 ARPA (PEUC Admin),US DEPT OF LABOR,510,Dept of Workforce Development,405900,0,405900
11115,2021 ARPA (PUA Admin),US DEPT OF LABOR,510,Dept of Workforce Development,2133900,0,2133900
11120,2021 Serve Indiana ARPA,CORP FOR NATIONAL AND COMM SVS,510,Dept of Workforce Development,4433919,0,4433919
19995,2021 Coronavirus State and Local Fiscal Recovery Funds. American Rescue Plan Act of 2021,US DEPT OF THE TREASURY,57,Budget Agency,883915336.6,0,883915336.6
19995,2021 Coronavirus State and Local Fiscal Recovery Funds. American Rescue Plan Act of 2021,US DEPT OF THE TREASURY,100,IN State Police,2089879.2,0,2089879.2
19995,2021 Coronavirus State and Local Fiscal Recovery Funds. American Rescue Plan Act of 2021,US DEPT OF THE TREASURY,100,IN State Police,19910120.8,0,19910120.8
19995,2021 Coronavirus State and Local Fiscal Recovery Funds. American Rescue Plan Act of 2021,US DEPT OF THE TREASURY,261,IN Finance Authority,50000000,0,50000000
19995,2021 Coronavirus State and Local Fiscal Recovery Funds. American Rescue Plan Act of 2021,US DEPT OF THE TREASURY,261,IN Finance Authority,30000000,0,30000000
19995,2021 Coronavirus State and Local Fiscal Recovery Funds. American Rescue Plan Act of 2021,US DEPT OF THE TREASURY,410,FSSA Div of Mntl Hlth & Addict,50000000,112857.49,49887142.51
19995,2021 Coronavirus State and Local Fiscal Recovery Funds. American Rescue Plan Act of 2021,US DEPT OF THE TREASURY,510,Dept of Workforce Development,500000000,500000000,0
